Date,Strike,Type,IV,Premium
2026-06-25,27350,CE,16.53,524.01
2026-06-25,27350,PE,16.53,92.35
2026-06-25,27400,CE,16.53,487.22
2026-06-25,27400,PE,16.53,105.49
2026-06-25,27450,CE,16.53,451.75
2026-06-25,27450,PE,16.53,119.97
2026-06-25,27500,CE,16.53,417.68
2026-06-25,27500,PE,16.53,135.83
2026-06-25,27550,CE,16.53,385.05
2026-06-25,27550,PE,16.53,153.14
2026-06-25,27600,CE,16.53,353.9
2026-06-25,27600,PE,16.53,171.92
2026-06-25,27650,CE,16.53,324.26
2026-06-25,27650,PE,16.53,192.22
2026-06-25,27700,CE,16.53,296.17
2026-06-25,27700,PE,16.53,214.07
2026-06-25,27750,CE,16.53,269.64
2026-06-25,27750,PE,16.53,237.47
2026-06-25,27800,CE,16.53,244.67
2026-06-25,27800,PE,16.53,262.44
2026-06-25,27850,CE,16.53,221.27
2026-06-25,27850,PE,16.53,288.98
2026-06-25,27900,CE,16.53,199.42
2026-06-25,27900,PE,16.53,317.06
2026-06-25,27950,CE,16.53,179.09
2026-06-25,27950,PE,16.53,346.68
2026-06-25,28000,CE,16.53,160.27
2026-06-25,28000,PE,16.53,377.79
2026-06-25,28050,CE,16.53,142.91
2026-06-25,28050,PE,16.53,410.36
2026-06-25,28100,CE,16.53,126.95
2026-06-25,28100,PE,16.53,444.35
2026-06-25,28150,CE,16.53,112.36
2026-06-25,28150,PE,16.53,479.69
